,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
3286,3,0.0,1.0,5300000,20300000,14,432,15000000,0,17200000,5900000,1.0
3287,1,1.0,1.0,8700000,33800000,18,558,18300000,11500000,31500000,5900000,0.0
3288,3,0.0,1.0,4800000,14200000,12,547,10400000,700000,9800000,2400000,1.0
3289,4,1.0,0.0,4400000,9800000,18,732,2400000,2400000,15100000,4400000,0.0
3290,1,0.0,1.0,5400000,19300000,12,784,5000000,1800000,20300000,6500000,0.0
3291,5,1.0,1.0,8400000,31900000,10,605,18900000,10300000,22000000,9100000,0.0
3292,1,0.0,1.0,5400000,19500000,18,688,12100000,800000,17000000,3500000,0.0
3293,3,1.0,1.0,9400000,32100000,10,617,22700000,5800000,29400000,11400000,0.0
3294,0,1.0,1.0,800000,2400000,4,518,500000,800000,2800000,500000,0.0
3295,0,1.0,0.0,3800000,14800000,10,390,5900000,5700000,9500000,4600000,1.0
3296,4,0.0,0.0,3100000,6300000,4,370,8600000,4100000,8800000,2800000,1.0
3297,3,1.0,1.0,6000000,21300000,4,802,4700000,8900000,17300000,7600000,0.0
3298,2,1.0,1.0,6800000,15500000,12,338,9900000,1200000,21800000,8500000,1.0
3299,5,1.0,0.0,5200000,11700000,6,658,8100000,5100000,11400000,5600000,0.0
3300,0,1.0,0.0,1900000,6700000,12,595,3000000,3200000,4900000,1700000,0.0
3301,5,0.0,1.0,3600000,8500000,20,594,4400000,6400000,7400000,4500000,0.0
3302,3,0.0,1.0,1500000,4100000,14,611,600000,2000000,4800000,2100000,0.0
3303,3,1.0,0.0,2000000,5800000,8,799,3000000,3100000,5500000,1000000,0.0
3304,5,0.0,0.0,9200000,18600000,20,497,1000000,300000,24200000,10700000,1.0
3305,0,1.0,1.0,6100000,15900000,18,456,12900000,10800000,19100000,8800000,1.0
3306,5,1.0,0.0,300000,500000,8,396,400000,300000,1200000,200000,1.0
3307,1,0.0,0.0,800000,2300000,10,770,900000,900000,2900000,1100000,0.0
3308,0,1.0,0.0,3300000,9000000,16,797,3000000,6400000,10300000,3300000,0.0
3309,1,1.0,0.0,5800000,18700000,20,586,14100000,3000000,15600000,6000000,0.0
3310,5,1.0,0.0,8500000,23400000,16,604,25100000,16500000,24500000,4800000,0.0
3311,0,1.0,1.0,4100000,12800000,8,799,3700000,700000,9400000,2700000,0.0
3312,2,0.0,0.0,7800000,26400000,4,763,2200000,8400000,16600000,6700000,0.0
3313,0,0.0,0.0,7500000,23000000,14,725,8900000,4800000,20200000,7100000,0.0
3314,2,0.0,0.0,2300000,8800000,18,336,1800000,800000,5200000,1500000,1.0
3315,4,0.0,1.0,600000,2300000,6,495,1700000,600000,2000000,300000,1.0
3316,1,1.0,0.0,2900000,11500000,20,431,3600000,3800000,5900000,3100000,1.0
3317,5,1.0,0.0,900000,2200000,2,415,600000,1700000,2900000,700000,1.0
3318,5,0.0,1.0,9000000,20400000,6,451,5200000,11400000,28200000,9000000,1.0
3319,1,1.0,0.0,4800000,14300000,4,489,12400000,7900000,17700000,3600000,1.0
3320,1,0.0,0.0,1600000,4600000,12,415,800000,600000,3900000,1500000,1.0
3321,3,1.0,0.0,2600000,8100000,12,425,7300000,1900000,6800000,2200000,1.0
3322,4,0.0,1.0,1800000,4600000,14,453,1700000,2400000,4700000,1600000,1.0
3323,5,0.0,1.0,4400000,11800000,20,634,5900000,7300000,15200000,4300000,0.0
3324,2,1.0,0.0,200000,300000,20,519,0,0,400000,300000,1.0
3325,4,1.0,1.0,800000,2100000,6,353,700000,300000,2900000,1200000,1.0
3326,3,0.0,0.0,1500000,3200000,4,767,2000000,400000,3700000,1400000,0.0
3327,0,1.0,1.0,7700000,16900000,14,473,22100000,4000000,29000000,6400000,1.0
3328,5,0.0,1.0,7200000,21300000,2,801,9900000,1700000,20400000,7200000,0.0
3329,4,0.0,0.0,1000000,2300000,16,543,200000,100000,2000000,1000000,1.0
3330,1,0.0,0.0,6300000,17200000,12,714,10100000,4200000,24700000,8500000,0.0
3331,3,0.0,0.0,1900000,4100000,12,830,4600000,1100000,5300000,2100000,0.0
3332,5,0.0,0.0,4400000,15300000,4,401,200000,5400000,17500000,2400000,0.0
3333,0,1.0,0.0,9100000,26400000,6,518,15800000,1100000,35300000,5700000,1.0
3334,2,0.0,1.0,900000,2300000,20,367,0,1200000,3400000,1300000,1.0
3335,0,0.0,1.0,4600000,12000000,12,493,4500000,700000,16200000,3600000,1.0
3336,2,0.0,1.0,9400000,22700000,14,505,4000000,16900000,24700000,11500000,1.0
3337,5,0.0,0.0,6900000,26500000,16,322,20500000,9800000,17100000,9400000,1.0
3338,2,0.0,0.0,300000,900000,8,735,800000,400000,500000,100000,0.0
3339,5,0.0,1.0,1900000,6700000,2,622,4200000,200000,3900000,1700000,0.0
3340,4,0.0,1.0,4400000,16400000,6,513,5400000,7500000,13100000,5700000,1.0
3341,4,1.0,1.0,1200000,4100000,16,585,900000,900000,2300000,900000,0.0
3342,1,0.0,1.0,1000000,3000000,10,813,2900000,500000,3300000,800000,0.0
3343,0,0.0,0.0,3100000,10400000,18,622,1300000,5000000,7200000,1600000,0.0
3344,1,0.0,1.0,2100000,6300000,16,899,2400000,2200000,4400000,2200000,0.0
3345,0,1.0,0.0,2100000,4700000,2,459,4000000,1300000,8100000,1200000,1.0
3346,4,0.0,0.0,9400000,33300000,18,369,20600000,5600000,32200000,7200000,1.0
3347,2,1.0,0.0,9700000,37700000,6,601,300000,3100000,23800000,11800000,0.0
3348,4,0.0,0.0,1400000,2700000,18,703,600000,1300000,5400000,900000,0.0
3349,2,1.0,0.0,4700000,14600000,20,597,8200000,6000000,14100000,6800000,0.0
3350,3,1.0,1.0,4100000,13300000,10,670,1900000,5500000,13200000,6100000,0.0
3351,4,1.0,1.0,1200000,2800000,6,366,3300000,300000,4200000,1400000,1.0
3352,5,1.0,0.0,7900000,27800000,16,857,23300000,12500000,17200000,10600000,0.0
3353,2,1.0,0.0,6600000,15000000,16,401,13600000,6600000,23500000,3300000,1.0
3354,0,1.0,0.0,2200000,8800000,4,437,1600000,2300000,8300000,2000000,0.0
3355,3,1.0,0.0,5500000,17600000,8,882,5800000,7800000,20300000,3100000,0.0
3356,4,0.0,0.0,5100000,15500000,8,392,6700000,8100000,13600000,6700000,1.0
3357,2,1.0,1.0,3900000,7700000,10,421,9700000,7500000,14100000,2100000,1.0
3358,5,0.0,0.0,200000,400000,6,722,300000,300000,400000,100000,0.0
3359,4,0.0,0.0,5800000,14700000,10,692,2300000,10100000,17700000,3900000,0.0
3360,5,1.0,0.0,8300000,20700000,2,537,8400000,14300000,19700000,7800000,1.0
3361,5,0.0,1.0,2600000,5500000,8,676,6700000,800000,7200000,1300000,0.0
3362,1,0.0,0.0,2100000,8100000,6,817,4600000,2900000,4900000,2900000,0.0
3363,4,1.0,0.0,3900000,10800000,20,433,4700000,1600000,14500000,2300000,1.0
3364,1,0.0,1.0,5200000,16300000,6,524,11000000,3400000,20700000,4600000,1.0
3365,3,1.0,1.0,7800000,24400000,20,490,6700000,5100000,17700000,4100000,1.0
3366,3,1.0,1.0,5400000,14300000,4,595,4100000,2800000,19300000,4900000,0.0
3367,2,1.0,0.0,2900000,11000000,2,835,4900000,3200000,11500000,1400000,0.0
3368,4,0.0,0.0,7100000,28300000,6,850,5600000,7100000,26000000,9700000,0.0
3369,1,0.0,1.0,800000,2500000,4,409,1300000,1000000,3100000,900000,0.0
3370,5,0.0,1.0,3400000,12800000,10,760,9800000,4300000,11000000,4600000,0.0
3371,1,0.0,1.0,6800000,17600000,14,344,5500000,5600000,18100000,7700000,1.0
3372,4,0.0,1.0,7000000,27100000,12,881,8300000,9400000,17200000,9500000,0.0
3373,0,0.0,1.0,9300000,24500000,10,600,20200000,700000,32600000,5400000,0.0
3374,2,0.0,0.0,7500000,19900000,10,790,3500000,13000000,19900000,5900000,0.0
3375,3,0.0,1.0,8000000,31200000,20,392,7300000,8400000,16000000,6000000,1.0
3376,5,0.0,1.0,1600000,4100000,2,748,1400000,1000000,4200000,1000000,0.0
3377,1,0.0,1.0,6700000,18800000,6,798,8700000,5900000,18000000,6100000,0.0
3378,3,1.0,0.0,3800000,11400000,4,323,5800000,4000000,9600000,4400000,0.0
3379,1,1.0,1.0,2700000,5400000,6,413,4800000,1500000,6100000,2600000,1.0
3380,3,0.0,0.0,1300000,2900000,8,733,3800000,1900000,3800000,1800000,0.0
3381,4,1.0,0.0,3400000,10500000,16,543,3100000,4500000,11100000,4500000,1.0
3382,3,0.0,0.0,3400000,10900000,14,757,5400000,1600000,7700000,3000000,0.0
3383,5,0.0,1.0,2400000,6800000,8,464,1900000,1300000,9500000,1900000,1.0
3384,0,1.0,0.0,1900000,6900000,4,749,2100000,3700000,4300000,2200000,0.0
3385,4,0.0,0.0,700000,2200000,6,680,300000,200000,2500000,300000,0.0
3386,1,1.0,0.0,6900000,20900000,4,574,3200000,1800000,25000000,5200000,0.0
3387,5,0.0,1.0,300000,800000,18,774,400000,200000,900000,400000,0.0
3388,3,1.0,0.0,6000000,18700000,10,387,6600000,6200000,23300000,6700000,1.0
3389,1,1.0,0.0,4300000,16400000,20,397,6700000,6200000,10200000,5700000,1.0
3390,4,0.0,0.0,5800000,13500000,14,816,13800000,9300000,20400000,7900000,0.0
3391,2,0.0,1.0,3300000,6700000,8,845,1300000,4600000,12300000,3200000,0.0
3392,2,1.0,0.0,400000,1500000,4,743,700000,500000,1200000,300000,0.0
3393,5,1.0,0.0,300000,600000,4,418,500000,200000,700000,200000,1.0
3394,1,1.0,0.0,4200000,10700000,6,466,7400000,7000000,14000000,4700000,1.0
3395,2,1.0,1.0,600000,2300000,12,335,400000,900000,1200000,400000,1.0
3396,5,1.0,1.0,4400000,15200000,6,446,9500000,2200000,16700000,5800000,1.0
3397,0,0.0,1.0,9200000,29400000,2,868,9200000,13800000,32000000,5300000,0.0
3398,2,0.0,1.0,6900000,25300000,4,763,9000000,3600000,21300000,5500000,0.0
3399,5,1.0,1.0,5100000,13700000,14,527,12100000,8900000,19400000,4700000,1.0
3400,4,0.0,0.0,3400000,12700000,2,741,3300000,6100000,7700000,3700000,0.0
3401,4,1.0,1.0,8600000,26800000,12,802,7400000,2800000,32100000,11700000,0.0
3402,3,1.0,1.0,9200000,28900000,8,538,13900000,8300000,32400000,4900000,1.0
3403,5,0.0,1.0,4800000,16300000,4,523,8800000,2300000,10000000,2800000,0.0
3404,4,1.0,0.0,2800000,8300000,14,381,3200000,1100000,9100000,1500000,1.0
3405,1,0.0,1.0,3400000,7000000,4,534,3100000,1600000,13000000,4000000,1.0
3406,5,1.0,1.0,800000,2200000,14,574,2200000,1200000,1700000,1100000,0.0
3407,1,1.0,0.0,4100000,11100000,6,405,12000000,2900000,9000000,5900000,1.0
3408,0,1.0,0.0,1900000,3800000,16,542,800000,500000,4000000,2100000,1.0
3409,5,0.0,1.0,6700000,25400000,14,820,10300000,8100000,18500000,3900000,0.0
3410,0,0.0,0.0,5200000,13400000,2,505,12000000,7900000,20400000,6200000,1.0
3411,3,0.0,1.0,6700000,16400000,2,508,4400000,10900000,25300000,9200000,1.0
3412,1,1.0,1.0,4700000,15000000,20,835,2100000,2500000,10100000,3800000,0.0
3413,0,1.0,0.0,6000000,22000000,12,826,1400000,2000000,14100000,7000000,0.0
3414,5,1.0,1.0,6500000,18900000,12,427,5100000,1900000,18200000,7800000,1.0
3415,3,0.0,0.0,500000,2000000,12,890,800000,700000,1800000,400000,0.0
3416,4,1.0,0.0,5700000,13300000,2,333,9400000,3000000,11800000,8200000,1.0
3417,4,1.0,1.0,6800000,20000000,12,679,20200000,10900000,26900000,6600000,0.0
3418,5,1.0,0.0,3100000,12300000,18,805,4900000,1900000,6100000,2800000,0.0
3419,3,1.0,0.0,5100000,11000000,16,826,11800000,2900000,12900000,2700000,0.0
3420,1,1.0,1.0,6300000,23900000,10,844,16300000,4900000,16800000,4500000,0.0
3421,5,0.0,1.0,4400000,14100000,10,663,5300000,4900000,17500000,2600000,0.0
3422,1,1.0,0.0,8100000,21900000,6,884,15100000,5400000,27500000,6600000,0.0
3423,1,1.0,0.0,1100000,3700000,2,508,200000,0,2200000,1300000,0.0
3424,0,0.0,1.0,2400000,6900000,4,581,5100000,4500000,6000000,3400000,0.0
3425,3,0.0,1.0,7000000,26300000,12,481,14300000,12800000,15100000,9900000,1.0
3426,1,0.0,1.0,8700000,30000000,12,543,21900000,12700000,30600000,12700000,1.0
3427,0,1.0,1.0,3500000,12600000,10,448,1200000,2500000,10400000,3600000,1.0
3428,1,0.0,1.0,1600000,5300000,4,713,1400000,1400000,4900000,1300000,0.0
3429,5,1.0,1.0,7800000,17300000,16,493,800000,4500000,16300000,9300000,1.0
3430,2,1.0,0.0,3700000,9200000,10,819,8500000,2000000,10200000,3100000,0.0
3431,4,0.0,0.0,400000,1400000,18,827,-100000,0,900000,600000,0.0
3432,0,1.0,0.0,4800000,15700000,10,398,4900000,7400000,17100000,6400000,1.0
3433,0,0.0,1.0,2900000,7500000,18,692,3200000,300000,7500000,4000000,0.0
3434,5,0.0,1.0,5000000,14600000,18,509,11800000,2500000,19800000,4900000,1.0
3435,0,0.0,1.0,7600000,18100000,16,439,12800000,5900000,29800000,10600000,1.0
3436,1,0.0,0.0,3000000,9400000,4,622,600000,3500000,9600000,2000000,0.0
3437,3,1.0,1.0,200000,700000,18,526,400000,100000,500000,0,1.0
3438,5,1.0,1.0,6800000,19000000,8,865,9500000,7200000,25000000,6300000,0.0
3439,5,1.0,1.0,9700000,27400000,2,328,0,18400000,22000000,7900000,1.0
3440,0,0.0,1.0,1200000,4200000,4,768,2800000,2200000,2800000,1500000,0.0
3441,5,1.0,1.0,7400000,24000000,16,854,4300000,6700000,20600000,8700000,0.0
3442,4,0.0,0.0,6900000,20800000,4,839,2600000,2400000,16100000,7400000,0.0
3443,0,1.0,1.0,9100000,23300000,18,414,17700000,2500000,33800000,6400000,1.0
3444,0,0.0,1.0,1300000,4700000,16,530,3200000,1000000,3800000,800000,1.0
3445,3,0.0,0.0,6600000,14600000,10,841,15300000,12100000,14800000,6000000,0.0
3446,3,1.0,1.0,1800000,5700000,14,670,5300000,3100000,3500000,2700000,0.0
3447,5,1.0,1.0,8200000,20900000,14,726,11400000,4800000,26000000,8400000,0.0
3448,4,1.0,0.0,2800000,8300000,14,352,4900000,2600000,7100000,3700000,1.0
3449,1,0.0,1.0,7000000,16000000,4,554,13000000,8600000,26600000,7900000,0.0
3450,4,0.0,0.0,700000,1800000,18,728,400000,1300000,2200000,600000,0.0
3451,0,1.0,0.0,7400000,25500000,6,463,2300000,5600000,26800000,8400000,1.0
3452,5,1.0,1.0,2300000,5000000,10,431,300000,3700000,8700000,2900000,1.0
3453,1,0.0,1.0,600000,1900000,8,445,1200000,100000,1600000,300000,1.0
3454,5,0.0,0.0,1000000,3000000,4,896,2800000,1100000,2000000,1100000,0.0
3455,1,1.0,1.0,2200000,5200000,8,420,2900000,100000,5000000,2300000,1.0
3456,1,1.0,0.0,8000000,30900000,2,315,23500000,1200000,19500000,7300000,0.0
3457,4,1.0,0.0,8600000,20900000,10,867,24300000,7200000,23700000,9900000,0.0
3458,3,1.0,1.0,7500000,26000000,2,342,13900000,1900000,26900000,11200000,0.0
3459,5,1.0,1.0,5200000,11800000,18,711,14300000,5100000,15500000,4500000,0.0
3460,2,1.0,0.0,7900000,20900000,2,723,1700000,1800000,16300000,7100000,0.0
3461,1,0.0,1.0,4200000,11300000,4,704,4700000,2800000,14900000,4000000,0.0
3462,0,0.0,0.0,6500000,20200000,16,842,8300000,12200000,14300000,9600000,0.0
3463,0,0.0,1.0,7400000,15200000,12,600,6200000,8500000,18800000,4100000,0.0
3464,3,1.0,0.0,9100000,25600000,12,688,8900000,16300000,27900000,11100000,0.0
3465,0,1.0,0.0,800000,2300000,16,739,1800000,600000,2000000,400000,0.0
3466,1,0.0,1.0,800000,2800000,10,798,1300000,1300000,2500000,400000,0.0
3467,5,0.0,1.0,4100000,9900000,4,319,7600000,7400000,12000000,5500000,1.0
3468,5,0.0,1.0,4200000,8700000,6,583,6000000,800000,8500000,2500000,0.0
3469,3,0.0,1.0,4800000,11500000,12,535,3600000,8000000,15600000,5400000,1.0
3470,3,1.0,1.0,8300000,25900000,8,696,14400000,12200000,23500000,7100000,0.0
3471,4,1.0,0.0,7600000,23900000,8,672,2500000,1600000,20200000,6700000,0.0
3472,4,0.0,0.0,5100000,12300000,20,410,9200000,9200000,18700000,5600000,1.0
3473,5,0.0,0.0,3600000,11600000,14,546,8500000,300000,12000000,4800000,1.0
3474,3,1.0,1.0,5400000,16800000,16,550,10700000,6400000,13400000,7000000,0.0
3475,5,1.0,0.0,700000,1400000,4,344,1500000,800000,2600000,300000,1.0
3476,2,1.0,1.0,9800000,38200000,10,743,5400000,14800000,24300000,5300000,0.0
3477,4,0.0,0.0,9700000,36400000,4,772,13800000,11300000,38100000,13500000,0.0
3478,0,0.0,1.0,9400000,29900000,12,302,12300000,1500000,35700000,8200000,1.0
3479,3,0.0,1.0,3200000,9100000,18,376,4500000,800000,9000000,1700000,1.0
3480,0,0.0,1.0,3700000,11600000,10,747,0,4500000,9000000,3500000,0.0
3481,2,0.0,1.0,4200000,15800000,6,710,12300000,3700000,12600000,4600000,0.0
3482,2,1.0,0.0,7000000,24200000,6,892,20600000,500000,21400000,9200000,0.0
3483,3,1.0,0.0,3200000,11500000,16,492,4800000,2300000,10400000,3200000,1.0
3484,5,0.0,0.0,7900000,17700000,2,559,19700000,2800000,28900000,5400000,0.0
3485,3,1.0,0.0,2200000,8300000,18,314,1100000,900000,5800000,2000000,1.0
3486,0,0.0,1.0,2700000,8400000,6,744,1200000,4100000,7500000,2000000,0.0
3487,5,1.0,0.0,6800000,18000000,12,690,17800000,11800000,25000000,9300000,0.0
3488,3,0.0,1.0,6300000,23300000,4,347,18300000,12200000,21100000,8100000,0.0
3489,5,0.0,1.0,9000000,31400000,2,677,12000000,10800000,20700000,8700000,0.0
3490,1,0.0,0.0,4700000,15700000,4,468,13300000,5100000,16200000,3600000,0.0
3491,2,1.0,0.0,8100000,17500000,4,674,10800000,12700000,23200000,9300000,0.0
3492,2,1.0,0.0,9000000,27300000,14,353,22600000,4400000,26900000,7200000,1.0
3493,4,1.0,0.0,3800000,14100000,8,727,3900000,4900000,8200000,5400000,0.0
3494,4,1.0,1.0,8800000,22200000,10,512,6800000,4000000,31900000,9900000,1.0
3495,3,1.0,1.0,8700000,27200000,18,454,9100000,9300000,30900000,12000000,1.0
3496,5,1.0,0.0,5000000,12400000,14,315,7400000,8600000,17000000,4000000,1.0
3497,0,1.0,1.0,6000000,22700000,10,480,200000,11900000,13700000,8700000,1.0
3498,2,0.0,1.0,9100000,24200000,16,685,25600000,1900000,31100000,9100000,0.0
3499,1,0.0,0.0,7400000,17900000,6,460,2600000,1300000,25900000,5000000,1.0
3500,1,1.0,1.0,8300000,28400000,16,704,1400000,11700000,16900000,11400000,0.0
3501,1,0.0,1.0,7600000,23900000,12,692,500000,12200000,27000000,5000000,0.0
3502,1,1.0,1.0,3500000,9600000,4,398,1700000,6000000,7900000,4600000,1.0
3503,5,0.0,1.0,1000000,3500000,18,882,900000,500000,2900000,600000,0.0
3504,5,0.0,1.0,9900000,25900000,4,860,7800000,200000,38000000,5400000,0.0
3505,2,0.0,1.0,5700000,15100000,18,330,5900000,3800000,16600000,6200000,1.0
3506,5,0.0,0.0,700000,2400000,16,447,1300000,700000,2600000,800000,1.0
3507,0,1.0,1.0,9600000,23800000,12,788,9900000,14400000,21200000,10400000,0.0
3508,1,1.0,0.0,9300000,28900000,6,526,11100000,1600000,19700000,11000000,1.0
3509,0,0.0,0.0,9500000,28400000,18,577,6200000,10300000,30200000,14100000,0.0
3510,4,0.0,1.0,8700000,23400000,16,372,10600000,11700000,20000000,8000000,1.0
3511,5,0.0,1.0,7300000,21000000,14,759,15500000,8000000,20300000,10800000,0.0
3512,3,0.0,1.0,4100000,12700000,10,465,6400000,1900000,14100000,3200000,1.0
3513,2,0.0,0.0,2900000,10200000,4,789,1200000,4100000,6100000,3600000,0.0
3514,3,0.0,1.0,7500000,17900000,2,680,7000000,11800000,25000000,6300000,0.0
3515,1,0.0,0.0,7900000,25700000,20,681,14900000,3000000,18100000,8800000,0.0
3516,1,0.0,1.0,6900000,22300000,16,673,17400000,100000,21300000,9000000,0.0
3517,0,1.0,0.0,6900000,22900000,10,313,5600000,9300000,26200000,8000000,1.0
3518,0,1.0,0.0,4800000,18800000,16,551,7900000,9400000,17300000,5500000,0.0
3519,5,0.0,1.0,7700000,24400000,8,453,1400000,7700000,22000000,10000000,1.0
3520,3,1.0,0.0,6900000,22700000,4,650,900000,13400000,15500000,6400000,0.0
3521,1,1.0,0.0,1200000,4500000,4,439,3200000,1800000,2900000,1200000,0.0
3522,1,0.0,0.0,2900000,9600000,4,658,8200000,4300000,7000000,2700000,0.0
3523,4,0.0,1.0,5500000,18900000,6,379,13900000,9100000,18500000,3100000,1.0
3524,4,0.0,1.0,3200000,10700000,4,450,7300000,3000000,8200000,1800000,0.0
3525,5,1.0,0.0,2600000,8200000,4,849,7400000,2000000,8900000,2700000,0.0
3526,0,0.0,0.0,500000,1600000,18,865,1400000,400000,1000000,200000,0.0
3527,0,0.0,0.0,1800000,6900000,10,853,900000,400000,3700000,1700000,1.0
3528,0,1.0,0.0,1300000,4900000,12,555,2400000,1200000,4100000,1700000,0.0
3529,1,1.0,0.0,9900000,20700000,20,821,12700000,8200000,38100000,11100000,0.0
3530,0,1.0,0.0,2000000,4700000,2,820,4700000,500000,7900000,1200000,0.0
3531,1,1.0,0.0,5100000,15300000,4,721,7000000,6100000,15300000,5900000,0.0
3532,4,0.0,1.0,8200000,24000000,20,831,23000000,3000000,24800000,5400000,0.0
3533,5,1.0,0.0,4200000,12600000,18,571,8900000,3200000,11700000,6200000,0.0
3534,2,1.0,1.0,1300000,4900000,8,582,2100000,1800000,3400000,1700000,0.0
3535,1,1.0,1.0,4600000,13600000,18,487,11200000,8500000,15500000,5400000,1.0
3536,1,1.0,0.0,6600000,19700000,12,758,16000000,4400000,18800000,9500000,0.0
3537,2,0.0,1.0,8300000,30100000,16,636,5200000,5100000,33100000,7200000,0.0
3538,0,0.0,0.0,6900000,20700000,16,857,17100000,13700000,14600000,8800000,0.0
3539,4,0.0,1.0,4700000,12500000,8,678,13700000,200000,9800000,7000000,0.0
3540,1,0.0,0.0,7900000,15800000,8,551,800000,3500000,18700000,8300000,0.0
3541,3,1.0,0.0,8800000,24900000,16,668,16700000,17200000,30000000,10500000,0.0
3542,1,0.0,0.0,6500000,23400000,2,672,5000000,10400000,16700000,7600000,0.0
3543,3,1.0,0.0,3500000,13700000,4,439,5200000,2800000,13000000,4400000,0.0
3544,2,1.0,1.0,8200000,19600000,16,636,11500000,2300000,28800000,10700000,0.0
3545,0,1.0,1.0,2000000,6000000,14,393,1500000,1400000,5900000,2900000,1.0
3546,5,1.0,0.0,2700000,8200000,2,848,7000000,1000000,6200000,1500000,0.0
3547,0,0.0,1.0,5300000,17600000,4,790,2000000,10200000,19700000,7700000,0.0
3548,2,1.0,0.0,9900000,19900000,6,312,21400000,2200000,31400000,11000000,1.0
3549,2,1.0,1.0,5000000,19500000,14,775,3100000,4700000,9900000,6500000,0.0
3550,2,1.0,0.0,9100000,18600000,20,403,18400000,11700000,20300000,9200000,1.0
3551,3,1.0,1.0,7600000,26400000,14,867,9200000,700000,27900000,7400000,0.0
3552,0,0.0,0.0,5200000,17800000,18,558,8300000,5400000,13000000,3100000,0.0
3553,5,0.0,0.0,1800000,6000000,4,548,1400000,2400000,6500000,2600000,0.0
3554,0,1.0,0.0,7300000,28200000,16,486,15300000,8800000,16400000,7700000,1.0
3555,4,0.0,0.0,3200000,11600000,6,635,3300000,4600000,6500000,3900000,0.0
3556,5,0.0,0.0,5200000,20700000,2,538,3200000,2000000,14600000,3600000,0.0
3557,4,1.0,0.0,7100000,28200000,14,496,6300000,10900000,27700000,4600000,1.0
3558,4,0.0,1.0,1400000,4800000,6,411,1400000,300000,4400000,1600000,1.0
3559,4,1.0,0.0,2700000,10700000,6,857,7400000,4200000,8200000,2800000,0.0
3560,5,0.0,1.0,6500000,18100000,10,360,15700000,10600000,20200000,6100000,1.0
3561,4,0.0,0.0,9300000,35900000,18,461,9800000,12700000,26200000,11400000,1.0
3562,0,0.0,1.0,6700000,14900000,16,638,3300000,6900000,22300000,8100000,0.0
3563,5,0.0,0.0,6800000,19300000,6,865,12100000,100000,22900000,9000000,0.0
3564,5,1.0,0.0,5600000,13600000,4,449,5900000,5700000,18800000,4300000,1.0
3565,1,1.0,1.0,1900000,4700000,2,870,4700000,2300000,3900000,2300000,0.0
3566,5,1.0,0.0,8400000,19500000,6,815,5300000,2500000,24000000,7200000,0.0
3567,2,1.0,1.0,2500000,7200000,16,454,4200000,1000000,7100000,2100000,1.0
3568,1,1.0,1.0,2900000,9900000,18,783,1300000,100000,11000000,2600000,0.0
3569,3,0.0,1.0,3200000,7400000,2,543,3600000,4500000,11200000,4600000,1.0
3570,4,1.0,1.0,3000000,10900000,2,786,7600000,3300000,8000000,3200000,0.0
3571,3,0.0,1.0,800000,2500000,20,395,1500000,300000,1600000,500000,1.0
3572,2,1.0,1.0,400000,1300000,2,885,200000,300000,1100000,500000,0.0
3573,2,1.0,0.0,4400000,10600000,20,488,10800000,2400000,13200000,4600000,1.0
3574,2,1.0,1.0,8700000,19900000,10,829,7500000,10500000,20200000,8400000,0.0
3575,4,1.0,0.0,7400000,15400000,6,677,22000000,13500000,28900000,7400000,0.0
3576,4,1.0,1.0,5700000,14400000,12,645,14500000,8600000,12900000,4700000,0.0
3577,5,1.0,1.0,9700000,27600000,10,788,9400000,3100000,31800000,10600000,0.0
3578,2,1.0,0.0,7000000,22400000,6,649,12200000,9900000,17800000,8900000,0.0
3579,2,1.0,0.0,8900000,23100000,4,519,22800000,500000,25200000,4700000,1.0
3580,3,0.0,1.0,3100000,11200000,14,772,3400000,5800000,8300000,2100000,0.0
3581,4,0.0,0.0,2200000,6100000,12,330,5500000,2900000,5000000,2200000,1.0
3582,5,1.0,1.0,7100000,21500000,4,557,8900000,8000000,26400000,4000000,0.0
3583,4,0.0,1.0,8200000,19000000,6,334,24500000,6800000,28600000,10200000,1.0
3584,3,0.0,1.0,9800000,28400000,12,487,8900000,15400000,30800000,11100000,1.0
3585,2,0.0,1.0,3900000,9700000,8,539,4400000,7600000,7900000,5100000,1.0
3586,2,0.0,1.0,2200000,8100000,8,710,500000,2900000,7300000,1000000,0.0
3587,5,1.0,1.0,600000,1700000,20,879,1100000,100000,2300000,700000,0.0
3588,4,1.0,1.0,6900000,22000000,10,512,6100000,9100000,20600000,3900000,1.0
3589,2,0.0,1.0,7400000,27300000,18,561,12600000,400000,27100000,9600000,0.0
3590,3,1.0,1.0,4000000,11600000,6,539,5900000,2600000,12100000,4700000,1.0
3591,3,1.0,1.0,700000,2000000,18,544,800000,1300000,1500000,400000,1.0
3592,2,1.0,1.0,1900000,4600000,16,631,3200000,2700000,4500000,2700000,0.0
3593,2,0.0,0.0,2200000,6800000,20,546,4600000,200000,4500000,2200000,1.0
3594,1,0.0,1.0,2000000,5600000,14,569,5000000,1100000,7900000,1600000,0.0
3595,4,1.0,0.0,7400000,17900000,6,384,13400000,12300000,22400000,4700000,1.0
3596,2,1.0,1.0,2300000,9000000,6,583,3600000,1300000,6900000,3400000,0.0
3597,5,1.0,1.0,4000000,15500000,12,517,0,600000,12100000,3500000,1.0
3598,3,0.0,1.0,1500000,5800000,18,420,800000,1900000,4100000,1400000,1.0
